Entity;Code;Year;Cantril ladder score;;GDP per capita, PPP (constant 2017 international $)
Afghanistan;AFG;2015;3.36;;20.682.659
Albania;ALB;2015;4.655;;11.878.454
Algeria;DZA;2015;6.355;;11696.95
Angola;AGO;2015;3.866;;8.036.411
Argentina;ARG;2015;6.65;;23.933.887
Armenia;ARM;2015;4.36;;11.321.333
Australia;AUS;2015;7.313;;47.569.293
Austria;AUT;2015;7.119;;52873.86
Azerbaijan;AZE;2015;5.291;;14.852.611
Bahrain;BHR;2015;6.218;;48.110.734
Bangladesh;BGD;2015;4.643;;37.001.108
Belarus;BLR;2015;5.802;;18.362.746
Belgium;BEL;2015;6.929;;49456.4
Belize;BLZ;2015;5.956;;73.586.187
Benin;BEN;2015;3.484;;29.459.702
Bhutan;BTN;2015;5.196;;10.086.073
Bolivia;BOL;2015;5.822;;7.984.412
Bosnia and Herzegovina;BIH;2015;5.163;;12.630.667
Botswana;BWA;2015;3.974;;14.895.905
Brazil;BRA;2015;6.952;;15.064.176
Bulgaria;BGR;2015;4.217;;19.988.225
Burkina Faso;BFA;2015;3.739;;1.925.332
Burundi;BDI;2015;2.905;;8.252.057
Cambodia;KHM;2015;3.907;;35.413.767
Cameroon;CMR;2015;4.513;;35.704.246
Canada;CAN;2015;7.404;;47522.14
Chad;TCD;2015;3.763;;18.571.079
Chile;CHL;2015;6.705;;24.440.416
China;CHN;2015;5.245;;12.612.352
Colombia;COL;2015;6.481;;14.095.748
Comoros;COM;2015;3.956;;2.959.498
Congo;COG;2015;4.236;;52.243.022
Costa Rica;CRI;2015;7.087;;19.141.684
Cote d'Ivoire;CIV;2015;3.916;;44.171.504
Croatia;HRV;2015;5.488;;24.884.666
Cyprus;CYP;2015;5.546;;34.453.117
Czechia;CZE;2015;6.596;;36.168.418
Democratic Republic of Congo;COD;2015;4.272;;10.652.424
Denmark;DNK;2015;7.526;;52.892.645
